Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1.7	N3	combined	Drop	0	0	0	0
1.7	N4	combined	Drop	0	0	0	0
1.7	N5	combined	Drop	0	0	0	0
1.75	N0	combined	Drop	0	0	0	0
1.75	N1	combined	Drop	0	0	0	0
1.75	N2	combined	Drop	0	0	0	0
1.75	N3	combined	Drop	0	0	0	0
1.75	N4	combined	Drop	0	0	0	0
1.75	N5	combined	Drop	0	0	0	0
1.8	N0	combined	Drop	0	0	0	0
1.8	N1	combined	Drop	0	0	0	0
1.8	N2	combined	Drop	0	0	0	0
1.8	N3	combined	Drop	0	0	0	0
1.8	N4	combined	Drop	0	0	0	0
1.8	N5	combined	Drop	0	0	0	0
1.85	N0	combined	Drop	0	0	0	0
1.85	N1	combined	Drop	0	0	0	0
1.85	N2	combined	Drop	0	0	0	0
1.85	N3	combined	Drop	0	0	0	0
1.85	N4	combined	Drop	0	0	0	0
1.85	N5	combined	Drop	0	0	0	0
1.9	N0	combined	Drop	0	0	0	0
1.9	N1	combined	Drop	0	0	0	0
1.9	N2	combined	Drop	0	0	0	0
1.9	N3	combined	Drop	0	0	0	0
1.9	N4	combined	Drop	0	0	0	0
1.9	N5	combined	Drop	0	0	0	0
1.95	N0	combined	Drop	0	0	0	0
1.95	N1	combined	Drop	0	0	0	0
1.95	N2	combined	Drop	0	0	0	0
1.95	N3	combined	Drop	0	0	0	0
1.95	N4	combined	Drop	0	0	0	0
1.95	N5	combined	Drop	0	0	0	0
2	N0	combined	Drop	0	0	0	0
2	N1	combined	Drop	0	0	0	0
2	N2	combined	Drop	0	0	0	0
2	N3	combined	Drop	0	0	0	0
2	N4	combined	Drop	0	0	0	0
2	N5	combined	Drop	0	0	0	0
2.05	N0	combined	Drop	0	0	0	0
2.05	N1	combined	Drop	0	0	0	0
2.05	N2	combined	Drop	0	0	0	0
2.05	N3	combined	Drop	0	0	0	0
2.05	N4	combined	Drop	0	0	0	0
2.05	N5	combined	Drop	0	0	0	0
2.1	N0	combined	Drop	0	0	0	0
2.1	N1	combined	Drop	0	0	0	0
